X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y
8.4,10,130,2.904,1.892,1.892,1.3244,0.0823,0.3753,0.3975,0.2919,3.982,0.9959,1.6424,5.346,0.33,5.777256122
14.4,12,104,3.17,1.89,1.51,1.89,0.07,0.45,0.4,0.21,4.78,0.8,1.19,6.8,0.3,4.998271386
8.4,10,130,1.848,1.892,1.892,1.3244,0.0524,0.3753,0.3975,0.1858,3.982,0.9959,1.0451,3.402,0.21,4.865842107
15,10,130,3.3,1.892,1.892,2.1758,0.0935,0.3753,0.3975,0.2256,3.982,0.9959,1.1198,6.075,0.225,4.732441536
9,10,130,3.3,1.892,1.892,1.419,0.0935,0.3753,0.3975,0.3053,3.982,0.9959,1.1198,5.589,0.255,4.70971584
12,8,130,3.17,1.51,2.27,1.89,0.06,0.38,0.48,0.21,4.78,1,1.19,4.86,0.3,4.52884502
13.2,10,130,2.904,1.892,1.892,2.0812,0.0823,0.3753,0.3975,0.3451,3.982,0.9959,1.94,3.4,0.27,4.405673355
10.8,10,130,1.848,1.892,1.892,1.3244,0.0823,0.3753,0.3975,0.19,3.982,0.9959,1.64,6.32,0.39,4.357257388
15,10,130,3.3,1.892,1.892,1.6082,0.0561,0.3753,0.3975,0.3053,3.982,0.9959,1.8663,5.589,0.375,4.301497598
14.4,8,130,2.11,2.27,1.89,2.27,0.07,0.45,0.4,0.21,4.78,0.8,1.49,5.83,0.36,4.29711127
13.2,10,130,1.848,1.892,1.892,1.7028,0.0673,0.3753,0.3975,0.29,3.982,0.9959,1.94,6.32,0.27,4.27956885
8.4,10,130,3.696,1.892,1.892,1.3244,0.0972,0.3753,0.3975,0.3451,3.982,0.9959,1.941,6.318,0.39,4.217570164
10.2,10,130,3.3,1.892,1.892,1.6082,0.0561,0.3753,0.3975,0.3053,3.982,0.9959,1.8663,5.589,0.375,4.185600339
13.2,10,130,3.696,1.892,1.892,2.0812,0.0972,0.3753,0.3975,0.29,3.982,0.9959,1.64,4.374,0.21,4.181085776
13.2,10,130,1.848,1.892,1.892,2.4596,0.0673,0.3753,0.3975,0.29,3.982,0.9959,1.94,6.32,0.27,4.102193109
9.6,8,156,3.17,1.89,1.89,1.51,0.07,0.3,0.32,0.32,4.78,1,1.49,5.83,0.24,4.091199282
13.8,10,130,3.3,1.892,1.892,1.6082,0.086,0.3753,0.3975,0.3318,3.982,0.9959,1.2691,5.346,0.225,4.084432657
12,10,156,3.17,2.27,1.51,1.51,0.09,0.45,0.32,0.21,3.98,1,1.19,5.83,0.24,4.064053328
12,12,156,2.11,1.51,1.89,1.89,0.09,0.45,0.32,0.21,3.98,1,1.49,4.86,0.3,4.045018056
9.6,12,130,2.64,1.51,1.51,2.27,0.07,0.3,0.32,0.32,4.78,1,1.19,6.8,0.36,4.024327543
10.8,10,130,2.904,1.892,1.892,2.0812,0.0524,0.3753,0.3975,0.29,3.982,0.9959,1.0451,4.374,0.27,3.958265999
13.8,10,130,2.244,1.892,1.892,2.365,0.0636,0.3753,0.3975,0.2256,3.982,0.9959,1.1198,5.346,0.375,3.935901968
12,8,104,2.64,1.89,2.27,2.27,0.09,0.45,0.32,0.21,3.98,1,1.79,6.8,0.36,3.916902397
14.4,12,104,3.17,1.89,1.51,1.89,0.09,0.3,0.48,0.27,3.19,1,1.49,4.86,0.36,3.89323245
12,12,104,2.64,2.27,1.89,1.51,0.09,0.3,0.4,0.32,3.98,0.8,1.49,4.86,0.36,3.873038509
10.8,10,130,2.904,1.892,1.892,2.4596,0.0673,0.3753,0.3975,0.24,3.982,0.9959,1.64,3.4,0.39,3.855246402
12,8,104,2.64,1.89,2.27,2.27,0.06,0.3,0.4,0.27,4.78,1.2,1.19,4.86,0.24,3.802194191
13.8,10,130,3.036,1.892,1.892,2.365,0.086,0.3753,0.3975,0.3318,3.982,0.9959,1.1198,5.589,0.345,3.756305189
8.4,10,130,1.848,1.892,1.892,1.7028,0.0673,0.3753,0.3975,0.3451,3.982,0.9959,1.64,4.374,0.33,3.74136833
14.4,10,104,3.17,1.51,1.89,2.27,0.07,0.3,0.48,0.21,3.98,1.2,1.79,4.86,0.3,3.741115796
9,10,130,3.3,1.892,1.892,1.6082,0.086,0.3753,0.3975,0.3318,3.982,0.9959,1.2691,5.346,0.225,3.727114305
9.6,12,130,2.64,1.51,1.51,2.27,0.09,0.38,0.4,0.21,3.19,1.2,1.49,4.86,0.24,3.699072673
13.8,10,130,1.98,1.892,1.892,1.419,0.0561,0.3753,0.3975,0.1991,3.982,0.9959,1.1198,5.346,0.225,3.698835405
10.2,10,130,2.244,1.892,1.892,2.365,0.0935,0.3753,0.3975,0.1991,3.982,0.9959,1.717,5.589,0.225,3.68459797
10.8,10,130,2.904,1.892,1.892,1.3244,0.0524,0.3753,0.3975,0.29,3.982,0.9959,1.0451,4.374,0.27,3.645976077
8.4,10,130,3.696,1.892,1.892,2.4596,0.0823,0.3753,0.3975,0.19,3.982,0.9959,1.34,5.346,0.27,3.6290245
13.2,10,130,3.696,1.892,1.892,1.7028,0.0823,0.3753,0.3975,0.24,3.982,0.9959,1.0451,3.4,0.33,3.62837981
15.6,10,130,3.696,1.892,1.892,1.7028,0.0524,0.3753,0.3975,0.24,3.982,0.9959,1.64,6.32,0.27,3.616945434
13.2,10,130,3.696,1.892,1.892,2.4596,0.0823,0.3753,0.3975,0.24,3.982,0.9959,1.0451,3.4,0.33,3.586023045
10.2,10,130,3.036,1.892,1.892,1.6082,0.086,0.3753,0.3975,0.1991,3.982,0.9959,1.1198,6.075,0.375,3.569991321
13.8,10,130,3.036,1.892,1.892,2.1758,0.0935,0.3753,0.3975,0.3053,3.982,0.9959,1.2691,5.346,0.375,3.511601468
9,10,130,1.98,1.892,1.892,1.6082,0.0636,0.3753,0.3975,0.2256,3.982,0.9959,1.2691,5.589,0.255,3.498263257
9,10,130,1.98,1.892,1.892,1.419,0.0561,0.3753,0.3975,0.1991,3.982,0.9959,1.1198,5.346,0.225,3.497424079
13.8,10,130,1.98,1.892,1.892,2.365,0.0935,0.3753,0.3975,0.3318,3.982,0.9959,1.8663,6.318,0.375,3.464218443
14.4,10,156,2.64,1.51,2.27,1.51,0.07,0.45,0.4,0.21,4.78,0.8,1.79,4.86,0.24,3.421157698
15.6,10,130,3.696,1.892,1.892,2.0812,0.0673,0.3753,0.3975,0.29,3.982,0.9959,1.0451,5.346,0.39,3.400499357
13.2,10,130,2.904,1.892,1.892,2.4596,0.0972,0.3753,0.3975,0.19,3.982,0.9959,1.34,4.374,0.39,3.389038523
