X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y
9,10,130,1.98,1.892,1.892,1.419,0.0561,0.37532,0.39747,0.1991,3.982,0.99587,1.1198,5.346,0.225,2.71356
9,10,130,1.98,1.892,1.892,1.6082,0.06358,0.37532,0.39747,0.22565,3.982,0.99587,1.26911,5.589,0.255,2.64481
9,10,130,1.98,1.892,1.892,2.365,0.0935,0.37532,0.39747,0.33183,3.982,0.99587,1.86633,6.318,0.375,2.44835
9,10,130,2.244,1.892,1.892,2.1758,0.0561,0.37532,0.39747,0.1991,3.982,0.99587,1.26911,5.589,0.345,1.97505
9,10,130,2.244,1.892,1.892,2.365,0.06358,0.37532,0.39747,0.22565,3.982,0.99587,1.1198,5.346,0.375,2.28981
9,10,130,2.244,1.892,1.892,1.419,0.08602,0.37532,0.39747,0.30529,3.982,0.99587,1.86633,6.318,0.225,3.30578
9,10,130,2.244,1.892,1.892,1.6082,0.0935,0.37532,0.39747,0.33183,3.982,0.99587,1.71703,6.075,0.255,4.29415
9,10,130,3.036,1.892,1.892,1.6082,0.0561,0.37532,0.39747,0.22565,3.982,0.99587,1.71703,6.318,0.225,2.29368
9,10,130,3.036,1.892,1.892,1.419,0.06358,0.37532,0.39747,0.1991,3.982,0.99587,1.86633,6.075,0.255,2.7991
9,10,130,3.3,1.892,1.892,2.365,0.0561,0.37532,0.39747,0.22565,3.982,0.99587,1.86633,6.075,0.345,2.33614
9,10,130,3.3,1.892,1.892,2.1758,0.06358,0.37532,0.39747,0.1991,3.982,0.99587,1.71703,6.318,0.375,2.13337
9,10,130,3.3,1.892,1.892,1.6082,0.08602,0.37532,0.39747,0.33183,3.982,0.99587,1.26911,5.346,0.225,2.77243
9,10,130,3.3,1.892,1.892,1.419,0.0935,0.37532,0.39747,0.30529,3.982,0.99587,1.1198,5.589,0.255,3.28269
10.2,10,130,1.98,1.892,1.892,2.1758,0.0561,0.37532,0.39747,0.33183,3.982,0.99587,1.1198,6.318,0.255,2.69658
10.2,10,130,1.98,1.892,1.892,2.365,0.06358,0.37532,0.39747,0.30529,3.982,0.99587,1.26911,6.075,0.225,3.76894
10.2,10,130,1.98,1.892,1.892,1.419,0.08602,0.37532,0.39747,0.22565,3.982,0.99587,1.71703,5.589,0.375,4.25092
10.2,10,130,2.244,1.892,1.892,1.6082,0.06358,0.37532,0.39747,0.30529,3.982,0.99587,1.1198,6.318,0.345,4.27483
15.6,10,130,2.904,1.892,1.892,2.4596,0.06732,0.37532,0.39747,0.19,3.982,0.99587,1.94,5.346,0.21,2.93138
10.2,10,130,3.036,1.892,1.892,2.365,0.0561,0.37532,0.39747,0.30529,3.982,0.99587,1.71703,5.346,0.255,3.31051
10.2,10,130,3.036,1.892,1.892,1.6082,0.08602,0.37532,0.39747,0.1991,3.982,0.99587,1.1198,6.075,0.375,2.87305
10.2,10,130,3.036,1.892,1.892,1.419,0.0935,0.37532,0.39747,0.22565,3.982,0.99587,1.26911,6.318,0.345,4.12025
13.8,10,130,1.98,1.892,1.892,1.419,0.0561,0.37532,0.39747,0.1991,3.982,0.99587,1.1198,5.346,0.225,3.10558
13.8,10,130,1.98,1.892,1.892,2.1758,0.08602,0.37532,0.39747,0.30529,3.982,0.99587,1.71703,6.075,0.345,5.04171
13.8,10,130,1.98,1.892,1.892,2.365,0.0935,0.37532,0.39747,0.33183,3.982,0.99587,1.86633,6.318,0.375,5.7435
13.8,10,130,2.244,1.892,1.892,2.1758,0.0561,0.37532,0.39747,0.1991,3.982,0.99587,1.26911,5.589,0.345,3.05727
13.8,10,130,3.036,1.892,1.892,1.6082,0.0561,0.37532,0.39747,0.22565,3.982,0.99587,1.71703,6.318,0.225,2.4556
13.8,10,130,3.036,1.892,1.892,1.419,0.06358,0.37532,0.39747,0.1991,3.982,0.99587,1.86633,6.075,0.255,3.36883
13.8,10,130,3.036,1.892,1.892,2.365,0.08602,0.37532,0.39747,0.33183,3.982,0.99587,1.1198,5.589,0.345,3.75524
13.8,10,130,3.036,1.892,1.892,2.1758,0.0935,0.37532,0.39747,0.30529,3.982,0.99587,1.26911,5.346,0.375,5.02731
13.8,10,130,3.3,1.892,1.892,2.365,0.0561,0.37532,0.39747,0.22565,3.982,0.99587,1.86633,6.075,0.345,3.14292
13.8,10,130,3.3,1.892,1.892,1.6082,0.08602,0.37532,0.39747,0.33183,3.982,0.99587,1.26911,5.346,0.225,2.716
13.8,10,130,3.3,1.892,1.892,1.419,0.0935,0.37532,0.39747,0.30529,3.982,0.99587,1.1198,5.589,0.255,4.28628
15,10,130,1.98,1.892,1.892,2.1758,0.0561,0.37532,0.39747,0.33183,3.982,0.99587,1.1198,6.318,0.255,2.31684
15,10,130,1.98,1.892,1.892,2.365,0.06358,0.37532,0.39747,0.30529,3.982,0.99587,1.26911,6.075,0.225,3.19817
15,10,130,1.98,1.892,1.892,1.419,0.08602,0.37532,0.39747,0.22565,3.982,0.99587,1.71703,5.589,0.375,3.99338
15,10,130,1.98,1.892,1.892,1.6082,0.0935,0.37532,0.39747,0.1991,3.982,0.99587,1.86633,5.346,0.345,4.28302
15,10,130,2.244,1.892,1.892,1.419,0.0561,0.37532,0.39747,0.33183,3.982,0.99587,1.26911,6.075,0.375,2.41158
15,10,130,2.244,1.892,1.892,1.6082,0.06358,0.37532,0.39747,0.30529,3.982,0.99587,1.1198,6.318,0.345,2.88603
15.6,10,130,3.696,1.892,1.892,2.4596,0.05236,0.37532,0.39747,0.24,3.982,0.99587,1.64,6.32,0.27,3.58721
15,10,130,3.036,1.892,1.892,2.365,0.0561,0.37532,0.39747,0.30529,3.982,0.99587,1.71703,5.346,0.255,2.92679
15,10,130,3.3,1.892,1.892,1.6082,0.0561,0.37532,0.39747,0.30529,3.982,0.99587,1.86633,5.589,0.375,2.63381
15,10,130,3.3,1.892,1.892,1.419,0.06358,0.37532,0.39747,0.33183,3.982,0.99587,1.71703,5.346,0.345,3.40309
15,10,130,3.3,1.892,1.892,2.365,0.08602,0.37532,0.39747,0.1991,3.982,0.99587,1.26911,6.318,0.255,4.01892
9.6,12,156,3.17,2.27,2.27,2.27,0.06,0.3,0.32,0.21,3.19,0.8,1.79,5.83,0.36,2.36726
9.6,12,156,3.17,2.27,2.27,2.27,0.09,0.45,0.48,0.32,4.78,1.2,1.49,4.86,0.3,4.4794
12,8,104,2.64,1.89,2.27,2.27,0.07,0.38,0.48,0.32,3.19,0.8,1.49,5.83,0.3,2.49427
12,10,156,3.17,2.27,1.51,1.51,0.06,0.3,0.4,0.27,4.78,1.2,1.49,6.8,0.3,2.21844
12,10,156,3.17,2.27,1.51,1.51,0.07,0.38,0.48,0.32,3.19,0.8,1.79,4.86,0.36,4.00289
12,12,156,2.11,1.51,1.89,1.89,0.06,0.3,0.4,0.27,4.78,1.2,1.79,5.83,0.36,2.08075
12,12,156,2.11,1.51,1.89,1.89,0.07,0.38,0.48,0.32,3.19,0.8,1.19,6.8,0.24,1.78487
12,12,156,2.11,1.51,1.89,1.89,0.09,0.45,0.32,0.21,3.98,1,1.49,4.86,0.3,3.34068
14.4,8,130,2.11,2.27,1.89,2.27,0.06,0.38,0.32,0.32,3.98,1.2,1.19,4.86,0.3,4.3574
14.4,8,130,2.11,2.27,1.89,2.27,0.07,0.45,0.4,0.21,4.78,0.8,1.49,5.83,0.36,3.40756
14.4,10,156,2.64,1.51,2.27,1.51,0.06,0.38,0.32,0.32,3.98,1.2,1.49,6.8,0.36,2.05012
14.4,10,156,2.64,1.51,2.27,1.51,0.09,0.3,0.48,0.27,3.19,1,1.19,5.83,0.3,3.97726
14.4,12,104,3.17,1.89,1.51,1.89,0.06,0.38,0.32,0.32,3.98,1.2,1.79,5.83,0.24,2.93031
14.4,12,104,3.17,1.89,1.51,1.89,0.07,0.45,0.4,0.21,4.78,0.8,1.19,6.8,0.3,2.14118
14.4,12,104,3.17,1.89,1.51,1.89,0.09,0.3,0.48,0.27,3.19,1,1.49,4.86,0.36,4.3104
9.6,8,156,3.17,1.89,1.89,1.51,0.06,0.45,0.48,0.27,3.98,0.8,1.19,4.86,0.36,4.30391
9.6,8,156,3.17,1.89,1.89,1.51,0.07,0.3,0.32,0.32,4.78,1,1.49,5.83,0.24,2.73292
9.6,10,104,2.11,2.27,2.27,1.89,0.06,0.45,0.48,0.27,3.98,0.8,1.49,6.8,0.24,1.81328
9.6,10,104,2.11,2.27,2.27,1.89,0.09,0.38,0.4,0.21,3.19,1.2,1.19,5.83,0.36,2.82164
9.6,12,130,2.64,1.51,1.51,2.27,0.06,0.45,0.48,0.27,3.98,0.8,1.79,5.83,0.3,1.95635
9.6,12,130,2.64,1.51,1.51,2.27,0.07,0.3,0.32,0.32,4.78,1,1.19,6.8,0.36,1.71165
12,8,130,3.17,1.51,2.27,1.89,0.09,0.3,0.4,0.32,3.98,0.8,1.79,6.8,0.24,2.02168
12,10,156,2.11,1.89,1.51,2.27,0.07,0.45,0.32,0.27,3.19,1.2,1.79,4.86,0.24,2.91797
12,12,104,2.64,2.27,1.89,1.51,0.06,0.38,0.48,0.21,4.78,1,1.79,5.83,0.24,3.27427
12,12,104,2.64,2.27,1.89,1.51,0.07,0.45,0.32,0.27,3.19,1.2,1.19,6.8,0.3,2.20794
12,12,104,2.64,2.27,1.89,1.51,0.09,0.3,0.4,0.32,3.98,0.8,1.49,4.86,0.36,5.0202
14.4,8,156,2.64,2.27,1.51,1.89,0.06,0.45,0.4,0.32,3.19,1,1.19,4.86,0.36,4.60244
14.4,8,156,2.64,2.27,1.51,1.89,0.07,0.3,0.48,0.21,3.98,1.2,1.49,5.83,0.24,3.96631
14.4,8,156,2.64,2.27,1.51,1.89,0.09,0.38,0.32,0.27,4.78,0.8,1.79,6.8,0.3,2.6499
14.4,10,104,3.17,1.51,1.89,2.27,0.06,0.45,0.4,0.32,3.19,1,1.49,6.8,0.24,2.5388
14.4,10,104,3.17,1.51,1.89,2.27,0.07,0.3,0.48,0.21,3.98,1.2,1.79,4.86,0.3,4.77447
14.4,10,104,3.17,1.51,1.89,2.27,0.09,0.38,0.32,0.27,4.78,0.8,1.19,5.83,0.36,3.95377
14.4,12,130,2.11,1.89,2.27,1.51,0.07,0.3,0.48,0.21,3.98,1.2,1.19,6.8,0.36,2.39943
8.4,10,130,1.848,1.892,1.892,1.3244,0.05236,0.37532,0.39747,0.18583,3.982,0.99587,1.04515,3.402,0.21,2.32627
